2013/01/11 14:19:14	UPLINK	GET_WITH_FILE	109	148974
2013/01/11 14:19:14	WEBSITE	WEBSITE_VISITED	0	expressen.se
2013/01/11 14:19:14	DATABASE	PUBLISH	139	148974
2013/01/11 14:19:14	NRS	PUBLISH	118	148974
2013/01/11 14:19:21	UPLINK	GET_WITH_FILE	522	12205
2013/01/11 14:19:24	UPLINK	GET_WITH_FILE	258	521276
2013/01/11 14:19:24	UPLINK	GET_WITH_FILE	18	12407
2013/01/11 14:19:25	DATABASE	PUBLISH	106	12407
2013/01/11 14:19:25	NRS	PUBLISH	83	12407
2013/01/11 14:19:28	DATABASE	PUBLISH	120	521276
2013/01/11 14:19:28	NRS	PUBLISH	299	521276
2013/01/11 14:19:32	UPLINK	GET_WITH_FILE	49	304
2013/01/11 14:19:32	DATABASE	PUBLISH	148	304
2013/01/11 14:19:32	NRS	PUBLISH	41	304
2013/01/11 14:19:35	UPLINK	GET_WITH_FILE	43	96320
2013/01/11 14:19:35	DATABASE	PUBLISH	131	96320
2013/01/11 14:19:35	NRS	PUBLISH	98	96320
2013/01/11 14:19:38	UPLINK	GET_WITH_FILE	53	3685
2013/01/11 14:19:39	DATABASE	PUBLISH	128	3685
2013/01/11 14:19:39	NRS	PUBLISH	43	3685
2013/01/11 14:19:42	UPLINK	GET_WITH_FILE	131	76861
2013/01/11 14:19:42	DATABASE	PUBLISH	150	76861
2013/01/11 14:19:42	NRS	PUBLISH	77	76861
2013/01/11 14:19:45	UPLINK	GET_WITH_FILE	202	371198
2013/01/11 14:19:46	DATABASE	PUBLISH	112	371198
2013/01/11 14:19:46	NRS	PUBLISH	188	371198
2013/01/11 14:19:49	UPLINK	GET_WITH_FILE	88	1862
2013/01/11 14:19:49	DATABASE	PUBLISH	122	1862
2013/01/11 14:19:49	NRS	PUBLISH	39	1862
2013/01/11 14:19:52	UPLINK	GET_WITH_FILE	41	4398
2013/01/11 14:19:52	DATABASE	PUBLISH	115	4398
2013/01/11 14:19:53	NRS	PUBLISH	50	4398
2013/01/11 14:19:56	UPLINK	GET_WITH_FILE	123	10005
2013/01/11 14:19:56	DATABASE	PUBLISH	114	10005
2013/01/11 14:19:56	NRS	PUBLISH	42	10005
2013/01/11 14:19:59	UPLINK	GET_WITH_FILE	37
2013/01/11 14:19:59	DATABASE	PUBLISH	53
2013/01/11 14:19:59	NRS	PUBLISH	58
2013/01/11 14:20:02	UPLINK	GET_WITH_FILE	52	24726
2013/01/11 14:20:02	DATABASE	PUBLISH	114	24726
2013/01/11 14:20:03	NRS	PUBLISH	55	24726
2013/01/11 14:20:06	UPLINK	GET_WITH_FILE	82	4398
2013/01/11 14:20:06	WEBSITE	WEBSITE_VISITED	0	wikipedia.org
2013/01/11 14:20:06	DATABASE	PUBLISH	81	4398
2013/01/11 14:20:06	NRS	PUBLISH	45	4398
2013/01/11 14:20:09	UPLINK	GET_WITH_FILE	400	46388
2013/01/11 14:20:09	DATABASE	PUBLISH	137	46388
2013/01/11 14:20:10	NRS	PUBLISH	107	46388
2013/01/11 14:20:13	UPLINK	GET_WITH_FILE	84	3310
2013/01/11 14:20:13	DATABASE	PUBLISH	182	3310
2013/01/11 14:20:13	NRS	PUBLISH	38	3310
2013/01/11 14:20:16	UPLINK	GET_WITH_FILE	172	2460
2013/01/11 14:20:16	DATABASE	PUBLISH	117	2460
2013/01/11 14:20:17	NRS	PUBLISH	45	2460
2013/01/11 14:20:20	UPLINK	GET_WITH_FILE	71	2500
2013/01/11 14:20:20	DATABASE	PUBLISH	121	2500
2013/01/11 14:20:20	NRS	PUBLISH	29	2500
2013/01/11 14:20:23	UPLINK	GET_WITH_FILE	63	2426
2013/01/11 14:20:23	DATABASE	PUBLISH	131	2426
2013/01/11 14:20:23	NRS	PUBLISH	36	2426
2013/01/11 14:20:26	UPLINK	GET_WITH_FILE	305	45283
2013/01/11 14:20:27	DATABASE	PUBLISH	124	45283
2013/01/11 14:20:27	NRS	PUBLISH	52	45283
2013/01/11 14:20:30	UPLINK	GET_WITH_FILE	98	506
2013/01/11 14:20:30	DATABASE	PUBLISH	129	506
2013/01/11 14:20:30	NRS	PUBLISH	29	506
2013/01/11 14:20:33	UPLINK	GET_WITH_FILE	84	1180
2013/01/11 14:20:34	DATABASE	PUBLISH	145	1180
2013/01/11 14:20:34	NRS	PUBLISH	80	1180
2013/01/11 14:20:37	UPLINK	GET_WITH_FILE	90	2230
2013/01/11 14:20:37	DATABASE	PUBLISH	148	2230
2013/01/11 14:20:37	NRS	PUBLISH	37	2230
2013/01/11 14:20:40	UPLINK	GET_WITH_FILE	86	1912
2013/01/11 14:20:40	DATABASE	PUBLISH	158	1912
2013/01/11 14:20:41	NRS	PUBLISH	38	1912
2013/01/11 14:20:44	UPLINK	GET_WITH_FILE	43	2087
2013/01/11 14:20:44	DATABASE	PUBLISH	172	2087
2013/01/11 14:20:44	NRS	PUBLISH	57	2087
2013/01/11 14:20:47	UPLINK	GET_WITH_FILE	75	2964
2013/01/11 14:20:47	DATABASE	PUBLISH	152	2964
2013/01/11 14:20:47	NRS	PUBLISH	47	2964
2013/01/11 14:20:50	UPLINK	GET_WITH_FILE	48	2122
2013/01/11 14:20:51	DATABASE	PUBLISH	167	2122
2013/01/11 14:20:51	NRS	PUBLISH	53	2122
2013/01/11 14:20:54	UPLINK	GET_WITH_FILE	39	1086
2013/01/11 14:20:54	DATABASE	PUBLISH	144	1086
2013/01/11 14:20:54	NRS	PUBLISH	74	1086
2013/01/11 14:20:57	UPLINK	GET_WITH_FILE	39	1861
2013/01/11 14:20:57	DATABASE	PUBLISH	132	1861
2013/01/11 14:20:58	NRS	PUBLISH	40	1861
2013/01/11 14:21:01	UPLINK	GET_WITH_FILE	50	2178
2013/01/11 14:21:01	DATABASE	PUBLISH	164	2178
2013/01/11 14:21:01	NRS	PUBLISH	35	2178
2013/01/11 14:21:01	WEBSITE	WEBSITE_VISITED	0	linkedin.com
2013/01/11 14:21:04	UPLINK	GET_WITH_FILE	839	238
2013/01/11 14:21:05	WEBSITE	WEBSITE_VISITED	0	blocket.se
2013/01/11 14:21:05	DATABASE	PUBLISH	137	238
2013/01/11 14:21:05	NRS	PUBLISH	41	238
2013/01/11 14:21:08	UPLINK	GET_WITH_FILE	86	39553
2013/01/11 14:21:09	DATABASE	PUBLISH	110	39553
2013/01/11 14:21:09	NRS	PUBLISH	59	39553
2013/01/11 14:21:12	UPLINK	GET_WITH_FILE	253	336145
2013/01/11 14:21:12	DATABASE	PUBLISH	130	336145
2013/01/11 14:21:12	NRS	PUBLISH	195	336145
2013/01/11 14:21:16	UPLINK	GET_WITH_FILE	94	81208
2013/01/11 14:21:16	DATABASE	PUBLISH	121	81208
2013/01/11 14:21:16	NRS	PUBLISH	94	81208
2013/01/11 14:21:19	UPLINK	GET_WITH_FILE	61	45719
2013/01/11 14:21:19	DATABASE	PUBLISH	132	45719
2013/01/11 14:21:19	NRS	PUBLISH	57	45719
2013/01/11 14:21:23	UPLINK	GET_WITH_FILE	96	82262
2013/01/11 14:21:23	DATABASE	PUBLISH	123	82262
2013/01/11 14:21:23	NRS	PUBLISH	79	82262
2013/01/11 14:21:26	UPLINK	GET_WITH_FILE	179	195860
2013/01/11 14:21:26	DATABASE	PUBLISH	139	195860
2013/01/11 14:21:26	NRS	PUBLISH	106	195860
2013/01/11 14:21:30	UPLINK	GET_WITH_FILE	66	47092
2013/01/11 14:21:30	DATABASE	PUBLISH	117	47092
2013/01/11 14:21:30	NRS	PUBLISH	54	47092
2013/01/11 14:21:33	UPLINK	GET_WITH_FILE	305	706527
2013/01/11 14:21:33	DATABASE	PUBLISH	105	706527
2013/01/11 14:21:33	NRS	PUBLISH	355	706527
2013/01/11 14:21:37	UPLINK	GET_WITH_FILE	62	7756
2013/01/11 14:21:37	DATABASE	PUBLISH	136	7756
2013/01/11 14:21:37	NRS	PUBLISH	48	7756
2013/01/11 14:21:40	UPLINK	GET_WITH_FILE	49	11423
2013/01/11 14:21:40	DATABASE	PUBLISH	114	11423
2013/01/11 14:21:40	NRS	PUBLISH	53	11423
2013/01/11 14:21:44	UPLINK	GET_WITH_FILE	82	52409
2013/01/11 14:21:44	DATABASE	PUBLISH	141	52409
2013/01/11 14:21:44	NRS	PUBLISH	72	52409
2013/01/11 14:21:47	UPLINK	GET_WITH_FILE	53	15914
2013/01/11 14:21:47	DATABASE	PUBLISH	107	15914
2013/01/11 14:21:47	NRS	PUBLISH	44	15914
2013/01/11 14:21:50	UPLINK	GET_WITH_FILE	95	96167
2013/01/11 14:21:51	DATABASE	PUBLISH	133	96167
2013/01/11 14:21:51	NRS	PUBLISH	83	96167
2013/01/11 14:21:55	UPLINK	GET_WITH_FILE	21	43
2013/01/11 14:21:55	DATABASE	PUBLISH	140	43
2013/01/11 14:21:55	NRS	PUBLISH	43	43
2013/01/11 14:21:58	UPLINK	GET_WITH_FILE	43	2131
2013/01/11 14:21:59	DATABASE	PUBLISH	132	2131
2013/01/11 14:21:59	NRS	PUBLISH	34	2131
2013/01/11 14:22:02	UPLINK	GET_WITH_FILE	64	585
2013/01/11 14:22:02	DATABASE	PUBLISH	126	585
2013/01/11 14:22:02	NRS	PUBLISH	41	585
